competitorname,chocolate,fruity,caramel,peanutyalmondy,nougat,crispedricewafer,hard,bar,pluribus,sugarpercent,pricepercent,winpercent,popular
100 Grand,1,0,1,0,0,1,0,1,0,0.73199999,0.86000001,66.971725,1
3 Musketeers,1,0,0,0,1,0,0,1,0,0.60399997,0.51099998,67.602936,1
One dime,0,0,0,0,0,0,0,0,0,0.011,0.116,32.261086,0
One quarter,0,0,0,0,0,0,0,0,0,0.011,0.51099998,46.116505,0
Air Heads,0,1,0,0,0,0,0,0,0,0.90600002,0.51099998,52.341465,1
Almond Joy,1,0,0,1,0,0,0,1,0,0.465,0.76700002,50.347546,1
Baby Ruth,1,0,1,1,1,0,0,1,0,0.60399997,0.76700002,56.914547,1
Boston Baked Beans,0,0,0,1,0,0,0,0,1,0.31299999,0.51099998,23.417824,0
Candy Corn,0,0,0,0,0,0,0,0,1,0.90600002,0.32499999,38.010963,0
Caramel Apple Pops,0,1,1,0,0,0,0,0,0,0.60399997,0.32499999,34.517681,0
Charleston Chew,1,0,0,0,1,0,0,1,0,0.60399997,0.51099998,38.975037,0
Chewey Lemonhead Fruit Mix,0,1,0,0,0,0,0,0,1,0.73199999,0.51099998,36.017628,0
Chiclets,0,1,0,0,0,0,0,0,1,0.046,0.32499999,24.524988,0
Dots,0,1,0,0,0,0,0,0,1,0.73199999,0.51099998,42.272076,0
Dum Dums,0,1,0,0,0,0,1,0,0,0.73199999,0.034000002,39.460556,0
Fruit Chews,0,1,0,0,0,0,0,0,1,0.127,0.034000002,43.088924,0
Fun Dip,0,1,0,0,0,0,1,0,0,0.73199999,0.32499999,39.185505,0
Gobstopper,0,1,0,0,0,0,1,0,1,0.90600002,0.45300001,46.783348,0
Haribo Gold Bears,0,1,0,0,0,0,0,0,1,0.465,0.465,57.11974,1
Haribo Happy Cola,0,0,0,0,0,0,0,0,1,0.465,0.465,34.158958,0
Haribo Sour Bears,0,1,0,0,0,0,0,0,1,0.465,0.465,51.41243,1
Haribo Twin Snakes,0,1,0,0,0,0,0,0,1,0.465,0.465,42.178772,0
HersheyÕs Kisses,1,0,0,0,0,0,0,0,1,0.127,0.093000002,55.375454,1
HersheyÕs Krackel,1,0,0,0,0,1,0,1,0,0.43000001,0.91799998,62.284481,1
HersheyÕs Milk Chocolate,1,0,0,0,0,0,0,1,0,0.43000001,0.91799998,56.490501,1
HersheyÕs Special Dark,1,0,0,0,0,0,0,1,0,0.43000001,0.91799998,59.236122,1
Jawbusters,0,1,0,0,0,0,1,0,1,0.093000002,0.51099998,28.127439,0
Junior Mints,1,0,0,0,0,0,0,0,1,0.197,0.51099998,57.21925,1
Kit Kat,1,0,0,0,0,1,0,1,0,0.31299999,0.51099998,76.7686,1
Laffy Taffy,0,1,0,0,0,0,0,0,0,0.22,0.116,41.389557,0
Lemonhead,0,1,0,0,0,0,1,0,0,0.046,0.104,39.141056,0
Lifesavers big ring gummies,0,1,0,0,0,0,0,0,0,0.26699999,0.27900001,52.911392,1
Peanut butter M&MÕs,1,0,0,1,0,0,0,0,1,0.82499999,0.65100002,71.46505,1
M&MÕs,1,0,0,0,0,0,0,0,1,0.82499999,0.65100002,66.574585,1
Mike & Ike,0,1,0,0,0,0,0,0,1,0.87199998,0.32499999,46.411716,0
Milk Duds,1,0,1,0,0,0,0,0,1,0.30199999,0.51099998,55.064072,1
Milky Way,1,0,1,0,1,0,0,1,0,0.60399997,0.65100002,73.099556,1
Milky Way Midnight,1,0,1,0,1,0,0,1,0,0.73199999,0.44100001,60.800701,1
Milky Way Simply Caramel,1,0,1,0,0,0,0,1,0,0.96499997,0.86000001,64.35334,1
Mounds,1,0,0,0,0,0,0,1,0,0.31299999,0.86000001,47.829754,0
Mr Good Bar,1,0,0,1,0,0,0,1,0,0.31299999,0.91799998,54.526451,1
Nerds,0,1,0,0,0,0,1,0,1,0.84799999,0.32499999,55.354046,1
Nestle Butterfinger,1,0,0,1,0,0,0,1,0,0.60399997,0.76700002,70.735641,1
Nestle Crunch,1,0,0,0,0,1,0,1,0,0.31299999,0.76700002,66.47068,1
Nik L Nip,0,1,0,0,0,0,0,0,1,0.197,0.97600001,22.445341,0
Now & Later,0,1,0,0,0,0,0,0,1,0.22,0.32499999,39.4468,0
Payday,0,0,0,1,1,0,0,1,0,0.465,0.76700002,46.296597,0
Peanut M&Ms,1,0,0,1,0,0,0,0,1,0.59299999,0.65100002,69.483788,1
Pixie Sticks,0,0,0,0,0,0,0,0,1,0.093000002,0.023,37.722336,0
Pop Rocks,0,1,0,0,0,0,1,0,1,0.60399997,0.83700001,41.265511,0
Red vines,0,1,0,0,0,0,0,0,1,0.58099997,0.116,37.348522,0
ReeseÕs Miniatures,1,0,0,1,0,0,0,0,0,0.034000002,0.27900001,81.866257,1
