"Name","I","i","C","c","P","p","M","m"
"Opossum",5,4,1,1,3,3,4,4
"Hairy_tail_mole",3,3,1,1,4,4,3,3
"Common_mole",3,2,1,0,3,3,3,3
"Star_nose_mole",3,3,1,1,4,4,3,3
"Brown_bat",2,3,1,1,3,3,3,3
"Silver_hair_bat",2,3,1,1,2,3,3,3
"Pigmy_bat",2,3,1,1,2,2,3,3
"House_bat",2,3,1,1,1,2,3,3
"Red_bat",1,3,1,1,2,2,3,3
"Hoary_bat",1,3,1,1,2,2,3,3
"Lump_nose_bat",2,3,1,1,2,3,3,3
"Armadillo",0,0,0,0,0,0,8,8
"Pika",2,1,0,0,2,2,3,3
"Snowshoe_rabbit",2,1,0,0,3,2,3,3
"Beaver",1,1,0,0,2,1,3,3
"Marmot",1,1,0,0,2,1,3,3
"Groundhog",1,1,0,0,2,1,3,3
"Prairie_Dog",1,1,0,0,2,1,3,3
"Ground_Squirrel",1,1,0,0,2,1,3,3
"Chipmunk",1,1,0,0,2,1,3,3
"Gray_squirrel",1,1,0,0,1,1,3,3
"Fox_squirrel",1,1,0,0,1,1,3,3
"Pocket_gopher",1,1,0,0,1,1,3,3
"Kangaroo_rat",1,1,0,0,1,1,3,3
"Pack_rat",1,1,0,0,0,0,3,3
"Field_mouse",1,1,0,0,0,0,3,3
"Muskrat",1,1,0,0,0,0,3,3
"Black_rat",1,1,0,0,0,0,3,3
"House_mouse",1,1,0,0,0,0,3,3
"Porcupine",1,1,0,0,1,1,3,3
"Guinea_pig",1,1,0,0,1,1,3,3
"Coyote",1,3,1,1,4,4,3,3
"Wolf",3,3,1,1,4,4,2,3
"Fox",3,3,1,1,4,4,2,3
"Bear",3,3,1,1,4,4,2,3
"Civet_cat",3,3,1,1,4,4,2,2
"Raccoon",3,3,1,1,4,4,3,2
"Marten",3,3,1,1,4,4,1,2
"Fisher",3,3,1,1,4,4,1,2
"Weasel",3,3,1,1,3,3,1,2
"Mink",3,3,1,1,3,3,1,2
"Ferrer",3,3,1,1,3,3,1,2
"Wolverine",3,3,1,1,4,4,1,2
"Badger",3,3,1,1,3,3,1,2
"Skunk",3,3,1,1,3,3,1,2
"River_otter",3,3,1,1,4,3,1,2
"Sea_otter",3,2,1,1,3,3,1,2
"Jaguar",3,3,1,1,3,2,1,1
"Ocelot",3,3,1,1,3,2,1,1
"Cougar",3,3,1,1,3,2,1,1
"Lynx",3,3,1,1,3,2,1,1
"Fur_seal",3,2,1,1,4,4,1,1
"Sea_lion",3,2,1,1,4,4,1,1
"Walrus",1,0,1,1,3,3,0,0
"Grey_seal",3,2,1,1,3,3,2,2
"Elephant_seal",2,1,1,1,4,4,1,1
"Peccary",2,3,1,1,3,3,3,3
"Elk",0,4,1,0,3,3,3,3
"Deer",0,4,0,0,3,3,3,3
"Moose",0,4,0,0,3,3,3,3
"Reindeer",0,4,1,0,3,3,3,3
"Antelope",0,4,0,0,3,3,3,3
"Bison",0,4,0,0,3,3,3,3
"Mountain_goat",0,4,0,0,3,3,3,3
"Musk_ox",0,4,0,0,3,3,3,3
"Mountain_sheep",0,4,0,0,3,3,3,3
