Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
16598,SCORE International Baja 1000: The Official Game,PS2,2008,Racing,Activision,0,0,0,0,0.01
9916,Backyard Wrestling 2: There Goes the Neighborhood,XB,2004,Fighting,Eidos Interactive,0.09,0.03,0,0,0.12
11035,Cardfight!! Vanguard: Ride to Victory,3DS,2013,Misc,FuRyu,0,0,0.09,0,0.09
12779,Gold and Glory: The Road to El Dorado,PS,2000,Adventure,Ubisoft,0.03,0.02,0,0,0.06
15552,Miyako,PSP,2010,Adventure,Idea Factory,0,0,0.02,0,0.02
7731,Zombie Army Trilogy,PS4,2015,Shooter,Rebellion Developments,0.04,0.12,0,0.03,0.2
10477,Yu-Gi-Oh! 5D's Wheelie Breakers,Wii,2009,Racing,Konami Digital Entertainment,0.09,0.01,0,0.01,0.1
5141,Dishonored,PS4,2015,Action,Bethesda Softworks,0.11,0.18,0.02,0.06,0.37
3997,Alien: Isolation,XOne,2014,Shooter,Sega,0.22,0.24,0,0.04,0.5
13236,Ms Saga: A New Dawn,PS2,2005,Role-Playing,Namco Bandai Games,0.02,0.02,0,0.01,0.05
14691,Cossacks: European Wars,PC,2001,Strategy,Strategy First,0,0.02,0,0,0.03
6836,Street Fighter X Tekken,PSV,2012,Fighting,Capcom,0.14,0.05,0.01,0.04,0.24
154,Cooking Mama,DS,2006,Simulation,505 Games,3.13,1.94,0.07,0.58,5.72
8177,Sonic Riders: Zero Gravity,PS2,2008,Racing,Sega,0.09,0.07,0,0.02,0.18
5139,Wanted: Weapons of Fate,X360,2009,Shooter,Warner Bros. Interactive Entertainment,0.17,0.15,0,0.04,0.37
2634,Metroid Prime Hunters,DS,2006,Shooter,Nintendo,0.58,0.04,0.11,0.06,0.78
13665,Mortimer Beckett and the Secrets of Spooky Manor,Wii,2008,Puzzle,Avanquest,0.04,0,0,0,0.04
6623,NASCAR 09,X360,2008,Racing,Electronic Arts,0.23,0,0,0.02,0.25
2772,Mortal Kombat: Unchained,PSP,2006,Fighting,Midway Games,0.67,0.01,0,0.06,0.74
14040,Mahjong Taikai,DS,2004,Misc,Tecmo Koei,0,0,0.04,0,0.04
